title,company_era,developer,series,genre,subgenre,dimension,platform,platform_family,platform_type,release_year,region,sales,gross_revenue,critic_score,user_score,exclusivity_status,nintendo_relationship_era,japan_only
0 day Attack on Earth,Square Enix,Gulti,Standalone,Shooter,,Unknown,XBL,Other,Other,2009.0,JP,,,42.0,,Exclusive,N/A,False
0 day Attack on Earth,Square Enix,Gulti,Standalone,Shooter,,Unknown,XBL,Other,Other,2009.0,NA,,,42.0,,Exclusive,N/A,False
0 day Attack on Earth,Square Enix,Gulti,Standalone,Shooter,,Unknown,XBL,Other,Other,2009.0,Other,,,42.0,,Exclusive,N/A,False
0 day Attack on Earth,Square Enix,Gulti,Standalone,Shooter,,Unknown,XBL,Other,Other,2009.0,PAL,,,42.0,,Exclusive,N/A,False
,Square Enix,Tokyo RPG Factory,Standalone,,,,Dragon Quest Monsters: Joker 3,,,,,,,75.0,,Multiplatform,,False
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PC,PC,PC,2016.0,JP,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PC,PC,PC,2016.0,NA,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PC,PC,PC,2016.0,Other,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PC,PC,PC,2016.0,PAL,,,75.0,,Multiplatform,N/A,True
,Square Enix,Tokyo RPG Factory,Standalone,,,,PS Vita,,,,,,,75.0,,Multiplatform,,False
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PS4,PlayStation,Home Console,2016.0,JP,0.07,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PS4,PlayStation,Home Console,2016.0,NA,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PS4,PlayStation,Home Console,2016.0,Other,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PS4,PlayStation,Home Console,2016.0,PAL,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PSV,Other,Other,2016.0,JP,0.07,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PSV,Other,Other,2016.0,NA,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PSV,Other,Other,2016.0,Other,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,PSV,Other,Other,2016.0,PAL,,,75.0,,Multiplatform,N/A,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,Switch,Nintendo,Home Console,2017.0,JP,0.05,,70.0,,Multiplatform,Post-Merger,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,Switch,Nintendo,Home Console,2017.0,NA,,,70.0,,Multiplatform,Post-Merger,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,Switch,Nintendo,Home Console,2017.0,Other,,,70.0,,Multiplatform,Post-Merger,True
I am Setsuna,Square Enix,Tokyo RPG Factory,Standalone,Role-Playing,,Unknown,Switch,Nintendo,Home Console,2017.0,PAL,,,70.0,,Multiplatform,Post-Merger,True
X-treme Quads,Square Enix,Phoenix Games,Standalone,Racing,,Unknown,PS2,PlayStation,Home Console,2005.0,JP,,,,,Exclusive,N/A,False
X-treme Quads,Square Enix,Phoenix Games,Standalone,Racing,,Unknown,PS2,PlayStation,Home Console,2005.0,NA,,,,,Exclusive,N/A,False
X-treme Quads,Square Enix,Phoenix Games,Standalone,Racing,,Unknown,PS2,PlayStation,Home Console,2005.0,Other,,,,,Exclusive,N/A,False
X-treme Quads,Square Enix,Phoenix Games,Standalone,Racing,,Unknown,PS2,PlayStation,Home Console,2005.0,PAL,,,,,Exclusive,N/A,False
,Squaresoft,Square,Standalone,,,,NES,,,,,,,,,Multiplatform,,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSN,Other,Other,2011.0,JP,,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSN,Other,Other,2011.0,NA,,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSN,Other,Other,2011.0,Other,,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSN,Other,Other,2011.0,PAL,,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSP,PlayStation,Handheld,2011.0,JP,0.27,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSP,PlayStation,Handheld,2011.0,NA,0.13,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSP,PlayStation,Handheld,2011.0,Other,0.05,,70.0,,Multiplatform,N/A,False
The 3rd Birthday,Square Enix,HexaDrive,Standalone,Role-Playing,,Unknown,PSP,PlayStation,Handheld,2011.0,PAL,0.07,,70.0,,Multiplatform,N/A,False
5 Star Racing,Enix,Kung Fu,Standalone,Racing,,Unknown,PS1,PlayStation,Home Console,2003.0,JP,,,,,Exclusive,N/A,False
5 Star Racing,Enix,Kung Fu,Standalone,Racing,,Unknown,PS1,PlayStation,Home Console,2003.0,NA,,,,,Exclusive,N/A,False
5 Star Racing,Enix,Kung Fu,Standalone,Racing,,Unknown,PS1,PlayStation,Home Console,2003.0,Other,,,,,Exclusive,N/A,False
5 Star Racing,Enix,Kung Fu,Standalone,Racing,,Unknown,PS1,PlayStation,Home Console,2003.0,PAL,,,,,Exclusive,N/A,False
The 7th Saga,Enix,Produce!,SaGa,Role-Playing,Turn-Based RPG,Unknown,SNES,Nintendo,Home Console,1993.0,JP,,,,,Exclusive,Pre-Split,False
The 7th Saga,Enix,Produce!,SaGa,Role-Playing,Turn-Based RPG,Unknown,SNES,Nintendo,Home Console,1993.0,NA,,,,,Exclusive,Pre-Split,False
The 7th Saga,Enix,Produce!,SaGa,Role-Playing,Turn-Based RPG,Unknown,SNES,Nintendo,Home Console,1993.0,Other,,,,,Exclusive,Pre-Split,False
The 7th Saga,Enix,Produce!,SaGa,Role-Playing,Turn-Based RPG,Unknown,SNES,Nintendo,Home Console,1993.0,PAL,,,,,Exclusive,Pre-Split,False
A King's Tale: Final Fantasy XV,Square Enix,Empty Clip Studios,Final Fantasy,Action,Turn-Based RPG,Unknown,PS4,PlayStation,Home Console,2017.0,JP,,,70.0,,Timed Exclusive,N/A,False
